#PC0: 11233.8 / 15706.8 = 0.715221
#PC1: 2435.05 / 15706.8 = 0.155032
#PC2: 1279.57 / 15706.8 = 0.0814662
#PC3: 352.552 / 15706.8 = 0.0224459
#PC4: 154.948 / 15706.8 = 0.00986502
#PC5: 67.2235 / 15706.8 = 0.00427991
#PC6: 51.7098 / 15706.8 = 0.0032922
#PC7: 45.3771 / 15706.8 = 0.00288902
#PC8: 29.1545 / 15706.8 = 0.00185617
#PC9: 14.3483 / 15706.8 = 0.000913512
#PC10: 8.76801 / 15706.8 = 0.000558231
#PC11: 7.08337 / 15706.8 = 0.000450976
#PC12: 5.24376 / 15706.8 = 0.000333853
#PC13: 4.34341 / 15706.8 = 0.000276531
#PC14: 2.8369 / 15706.8 = 0.000180617
#PC15: 2.33498 / 15706.8 = 0.000148661
#PC16: 1.95967 / 15706.8 = 0.000124766
#PC17: 1.55065 / 15706.8 = 9.87247e-05
#PC18: 1.34158 / 15706.8 = 8.54139e-05
#PC19: 1.21537 / 15706.8 = 7.73789e-05
#PC20: 0.903204 / 15706.8 = 5.75041e-05
#PC21: 0.804403 / 15706.8 = 5.12138e-05
#PC22: 0.754813 / 15706.8 = 4.80565e-05
#PC23: 0.393665 / 15706.8 = 2.50634e-05
#PC24: 0.383843 / 15706.8 = 2.44381e-05
#PC25: 0.324691 / 15706.8 = 2.06721e-05
#PC26: 0.298478 / 15706.8 = 1.90031e-05
#PC27: 0.266799 / 15706.8 = 1.69863e-05
#PC28: 0.214098 / 15706.8 = 1.36309e-05
#PC29: 0.201367 / 15706.8 = 1.28204e-05
#PC30: 0.197711 / 15706.8 = 1.25876e-05
#PC31: 0.13065 / 15706.8 = 8.31805e-06
#PC32: 0.110614 / 15706.8 = 7.04246e-06
#PC33: 0.103526 / 15706.8 = 6.5912e-06
#PC34: 0.0923238 / 15706.8 = 5.87796e-06
#PC35: 0.0910699 / 15706.8 = 5.79814e-06
#PC36: 0.0866088 / 15706.8 = 5.51411e-06
#PC37: 0.0754336 / 15706.8 = 4.80262e-06
#PC38: 0.073342 / 15706.8 = 4.66945e-06
#PC39: 0.0608006 / 15706.8 = 3.87098e-06
#PC40: 0.0578794 / 15706.8 = 3.685e-06
#PC41: 0.0524386 / 15706.8 = 3.3386e-06
#PC42: 0.0475216 / 15706.8 = 3.02555e-06
#PC43: 0.0449819 / 15706.8 = 2.86385e-06
#PC44: 0.0407869 / 15706.8 = 2.59677e-06
#PC45: 0.0376426 / 15706.8 = 2.39658e-06
#PC46: 0.0356371 / 15706.8 = 2.2689e-06
#PC47: 0.0312546 / 15706.8 = 1.98988e-06
#PC48: 0.029034 / 15706.8 = 1.8485e-06
#PC49: 0.0261217 / 15706.8 = 1.66308e-06
#PC50: 0.0248148 / 15706.8 = 1.57988e-06
#PC51: 0.0213166 / 15706.8 = 1.35716e-06
#PC52: 0.0196373 / 15706.8 = 1.25025e-06
#PC53: 0.0189976 / 15706.8 = 1.20952e-06
#PC54: 0.0176789 / 15706.8 = 1.12556e-06
#PC55: 0.0163803 / 15706.8 = 1.04288e-06
wavelength PC0 PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 PC21 PC22 PC23 PC24 PC25 PC26 PC27 PC28 PC29 PC30 PC31 PC32 PC33 PC34 PC35 PC36 PC37 PC38 PC39 PC40 PC41 PC42 PC43 PC44 PC45 PC46 PC47 PC48 PC49 PC50 PC51 PC52 PC53 PC54 PC55 Mean
0.0100166 0.0458347 -0.00385737 -0.092872 0.0298869 0.0385192 0.0455025 0.00586834 0.00386203 -0.00852385 0.0118702 0.079054 0.0053621 0.0111583 0.0346594 0.0227113 -3.47525e-05 -0.0635807 0.0334206 0.0168718 -0.0107343 -0.0395863 -0.0218124 0.00527387 -0.00751535 -0.0226473 -0.0235531 0.00903091 0.0172024 0.0259294 -0.0186288 -0.0330148 0.0191827 0.00448419 -0.0306849 -0.0162781 -0.0150575 0.0378173 -0.0417694 -0.0375276 -0.00078121 -0.0330552 -0.013835 0.0283343 -0.00833214 0.0263767 -0.00601951 0.00669098 -0.0050177 0.0264519 -0.0125027 0.0125156 0.00541995 -0.0009526 0.00829909 0.0197585 0.0193772 23.3636
0.0100499 0.0458168 -0.00387167 -0.0923007 0.0297228 0.0376973 0.0450576 0.00610813 0.0034737 -0.00874722 0.0113821 0.0776339 0.00528954 0.0110067 0.0337357 0.0221195 0.00045741 -0.0624143 0.0324086 0.0162411 -0.0104773 -0.0388983 -0.0207684 0.00536915 -0.00736623 -0.0217892 -0.0225492 0.00849777 0.0166565 0.0248294 -0.0178648 -0.0320703 0.0186721 0.00442096 -0.0299422 -0.0153966 -0.0147872 0.0367572 -0.0402353 -0.0360729 -0.00153367 -0.0317565 -0.0137255 0.0271037 -0.00797111 0.0252515 -0.00631948 0.00542812 -0.00427768 0.0267381 -0.011698 0.0123795 0.0050719 -0.000619467 0.0072702 0.0187421 0.0181365 23.3779
0.0100833 0.0457995 -0.00388397 -0.0917279 0.02956 0.0368775 0.0446108 0.00634629 0.00308567 -0.00896715 0.0108951 0.0762152 0.00521484 0.0108573 0.0328124 0.021524 0.000945421 -0.0612468 0.0313953 0.0156086 -0.0102242 -0.0382091 -0.0197259 0.00546409 -0.00721331 -0.02093 -0.0215469 0.00796745 0.0161141 0.0237282 -0.0170987 -0.0311299 0.0181606 0.00435512 -0.029205 -0.0145039 -0.0145188 0.0357003 -0.0387114 -0.0346366 -0.00228033 -0.0304691 -0.0136172 0.0258675 -0.00762162 0.0241162 -0.00661095 0.00417162 -0.00353997 0.027039 -0.0108985 0.0122373 0.00472165 -0.000279522 0.00624188 0.0177116 0.0168956 23.3922
0.0101169 0.0457826 -0.00389427 -0.0911536 0.029399 0.0360608 0.0441633 0.00658366 0.00269748 -0.00918321 0.010408 0.0747955 0.00513772 0.0107077 0.0318926 0.020936 0.00143513 -0.060072 0.0303902 0.0149875 -0.0099642 -0.0375221 -0.0186905 0.00557243 -0.00707142 -0.0200691 -0.0205375 0.00743936 0.0155808 0.0226443 -0.016314 -0.0302076 0.0176399 0.00429176 -0.0284365 -0.0135999 -0.0142433 0.0346621 -0.0371793 -0.0331492 -0.00302949 -0.0291928 -0.0135212 0.0245936 -0.00726586 0.0230207 -0.00695934 0.00289664 -0.00276336 0.0273599 -0.0100953 0.0121702 0.00445162 0.000106114 0.00524425 0.0167061 0.015659 23.4063
0.0101505 0.0457663 -0.00390255 -0.0905778 0.02924 0.0352473 0.0437152 0.00682031 0.0023091 -0.00939531 0.0099207 0.0733745 0.00505812 0.0105578 0.0309765 0.0203567 0.00192715 -0.0588896 0.0293944 0.014379 -0.00969635 -0.0368379 -0.0176628 0.00569566 -0.00694206 -0.0192064 -0.01952 0.00691356 0.0150573 0.0215798 -0.0155088 -0.0293047 0.017109 0.00423162 -0.0276327 -0.0126843 -0.0139597 0.0336441 -0.0356368 -0.0316033 -0.00378172 -0.0279267 -0.0134383 0.0232789 -0.00690203 0.0219707 -0.00737136 0.00160091 -0.00194361 0.027701 -0.00928771 0.0121871 0.00427118 0.000542056 0.00428071 0.0157298 0.014427 23.4204
0.0101843 0.0457504 -0.00390875 -0.0900003 0.0290815 0.034435 0.0432635 0.00705428 0.00192156 -0.00960438 0.00943607 0.0719579 0.00497668 0.0104131 0.0300575 0.0197607 0.00240821 -0.0577127 0.0283861 0.0137537 -0.00944504 -0.0361481 -0.01663 0.0058027 -0.0067915 -0.018343 -0.0185142 0.00639118 0.0145308 0.0204925 -0.0147204 -0.0283899 0.0165871 0.00416264 -0.0268777 -0.0117579 -0.0136882 0.0326112 -0.0341264 -0.0301573 -0.00451821 -0.0266726 -0.0133436 0.0219961 -0.00657052 0.0208527 -0.00769876 0.00034108 -0.00117404 0.0280509 -0.00849564 0.0121023 0.00399237 0.00093883 0.00328245 0.0146928 0.0131897 23.4343
0.0102182 0.0457428 -0.00390575 -0.0894857 0.0289539 0.0337892 0.0428918 0.00720514 0.00164404 -0.00985107 0.00892424 0.0707681 0.00470009 0.0100936 0.0294323 0.019331 0.00260345 -0.0565224 0.0274613 0.0131665 -0.00943539 -0.0354458 -0.0158707 0.00616266 -0.00673397 -0.0175317 -0.0175456 0.00597963 0.0143873 0.0192974 -0.0133223 -0.0272269 0.0160332 0.00409182 -0.0260228 -0.0108147 -0.0133606 0.0311949 -0.0324654 -0.0283532 -0.00478403 -0.0251508 -0.0129292 0.0199164 -0.00590497 0.0185804 -0.0081501 -0.000840727 -9.83648e-05 0.0266568 -0.00751884 0.0111661 0.00338294 0.000790511 0.002786 0.0138686 0.0124802 23.4454
0.0102521 0.0457388 -0.00389355 -0.089021 0.0288282 0.0332508 0.042534 0.00724877 0.00148078 -0.0101483 0.00843991 0.0698731 0.00426827 0.00972505 0.0289475 0.0186069 0.00232969 -0.0555593 0.0262323 0.0121043 -0.0100493 -0.0345772 -0.0151213 0.00623209 -0.0061834 -0.0167698 -0.0169183 0.00568918 0.0143579 0.0173248 -0.0120136 -0.0253328 0.0157724 0.00383547 -0.0264866 -0.00981613 -0.0132916 0.0288461 -0.0313199 -0.0289021 -0.0042827 -0.0232995 -0.0117398 0.0183752 -0.0056624 0.0134434 -0.00617452 -0.000975251 -0.000308347 0.0235215 -0.00671522 0.00648654 -0.000541342 -0.00122519 0.0016267 0.0118315 0.0120866 23.4541
0.0102862 0.0457368 -0.00387961 -0.0885566 0.0287144 0.0327299 0.0421968 0.00730443 0.00130959 -0.0104355 0.0079359 0.0689394 0.00382907 0.00931847 0.0285143 0.0180679 0.00215491 -0.0544877 0.0251638 0.0112652 -0.0104831 -0.0337725 -0.0144655 0.00653676 -0.00588014 -0.0159994 -0.0161468 0.00538286 0.0144334 0.0156574 -0.0104208 -0.0236931 0.0153628 0.00365188 -0.0263302 -0.00878933 -0.0130859 0.0267721 -0.0298987 -0.0283082 -0.00392359 -0.0214998 -0.0107677 0.0162776 -0.00513655 0.00911405 -0.00531786 -0.00154084 0.000195777 0.0205512 -0.00577833 0.0031544 -0.00309842 -0.00258406 0.000983298 0.0104202 0.0117599 23.4626
0.0103205 0.0457352 -0.00386353 -0.0880903 0.0286011 0.0322103 0.0418553 0.00735636 0.00113921 -0.0107208 0.00743512 0.0680112 0.00338845 0.00891941 0.0280808 0.0175167 0.0019776 -0.0534163 0.0240855 0.0104189 -0.0109246 -0.0329603 -0.0138012 0.00684282 -0.00556476 -0.0152241 -0.0153733 0.00507109 0.0145144 0.0139841 -0.00882584 -0.0220683 0.0149513 0.0034592 -0.0261913 -0.00772645 -0.0128828 0.0246975 -0.0284964 -0.0277767 -0.00354587 -0.0197112 -0.0097902 0.0141845 -0.00464494 0.00474348 -0.00443004 -0.00209276 0.00070195 0.0176328 -0.00485845 -0.000201173 -0.00567337 -0.00393136 0.000352006 0.00899444 0.0114347 23.471
